

 ************************* Бот запущен!2025-09-27 15:28:12.179823*************************

cmd_start 2025-09-27 15:29:23.625247 ||| Пользователь Dar Jigoky стартовал бота ||| ||| Его tg_id: 896282019 |||

cmd_log 2025-09-27 15:29:27.078204 ||| Пользователь Dar Jigoky нажал Войти ||| ||| Его tg_id: 896282019 |||

cmd_start 2025-09-27 15:29:50.723748 ||| Пользователь Dar Jigoky стартовал бота ||| ||| Его tg_id: 896282019 |||

cmd_help_lobby 2025-09-27 15:29:54.171762 ||| Пользователь Dar Jigoky нажал Помощь ||| ||| Его tg_id: 896282019 |||

cmd_reg 2025-09-27 15:29:55.496626 ||| Пользователь Dar Jigoky нажал Регистрация ||| ||| Его tg_id: 896282019 |||

cmd_reg_pass 2025-09-27 15:30:05.061775 ||| Пользователь Dar Jigoky заканчивает регистрацию ||| ||| Его tg_id: 896282019 |||

cmd_reg_endy 2025-09-27 15:30:06.841268 ||| Пользователь Dar Jigoky успешно завершил регистрацию ||| ||| Его tg_id: 896282019 |||

cmd_reset_acc 2025-09-27 15:30:08.960349 ||| Пользователь Dar Jigoky нажал Восстановить аккаунт ||| ||| Его tg_id: 896282019 |||

cmd_help_lobby 2025-09-27 15:31:05.225881 ||| Пользователь Dar Jigoky нажал Помощь ||| ||| Его tg_id: 896282019 |||

cmd_log 2025-09-27 15:33:34.991431 ||| Пользователь Dar Jigoky нажал Войти ||| ||| Его tg_id: 896282019 |||

 ************************* Бот выключен!2025-09-27 15:41:50.464838*************************

 ************************* Бот запущен!2025-09-27 15:41:54.869360*************************

cmd_start 2025-09-27 15:42:16.104320 ||| Пользователь Dar Jigoky стартовал бота ||| ||| Его tg_id: 896282019 |||

 ************************* Бот выключен!2025-09-27 15:43:13.642663*************************

 ************************* Бот запущен!2025-09-27 15:43:17.621105*************************

cmd_start 2025-09-27 15:43:18.257248 ||| Пользователь Dar Jigoky стартовал бота ||| ||| Его tg_id: 896282019 |||

 ************************* Бот выключен!2025-09-27 15:46:27.513509*************************

 ************************* Бот запущен!2025-09-27 15:46:34.997264*************************

cmd_start 2025-09-27 15:46:37.028720 ||| Пользователь Dar Jigoky стартовал бота ||| ||| Его tg_id: 896282019 |||

 ************************* Бот выключен!2025-09-27 15:47:34.926595*************************

 ************************* Бот запущен!2025-09-27 15:47:39.704207*************************

cmd_start 2025-09-27 15:47:42.383421 ||| Пользователь Dar Jigoky стартовал бота ||| ||| Его tg_id: 896282019 |||

 ************************* Бот выключен!2025-09-27 15:51:28.886806*************************

 ************************* Бот запущен!2025-09-27 15:51:36.593097*************************

